iter	Passed	Remaining
0	74	74022
1	87	43885
2	105	35151
3	123	30632
4	141	28088
5	159	26423
6	177	25158
7	194	24116
8	212	23349
9	228	22585
10	246	22145
11	263	21666
12	278	21169
13	292	20566
14	306	20157
15	320	19709
16	333	19304
17	348	19009
18	362	18707
19	376	18443
20	388	18108
21	401	17856
22	413	17575
23	427	17395
24	439	17134
25	450	16888
26	462	16669
27	474	16465
28	486	16303
29	500	16173
30	512	16007
31	523	15840
32	536	15708
33	547	15558
34	559	15415
35	570	15279
36	582	15169
37	595	15073
38	606	14952
39	618	14839
40	630	14744
41	642	14654
42	653	14534
43	665	14454
44	678	14396
45	692	14352
46	704	14282
47	715	14195
48	728	14133
49	740	14073
50	753	14016
51	765	13956
52	777	13899
53	792	13888
54	806	13853
55	819	13809
56	832	13765
57	848	13786
58	862	13761
59	877	13746
60	889	13692
61	902	13660
62	916	13632
63	931	13620
64	945	13600
65	959	13582
66	971	13533
67	986	13520
68	1001	13517
69	1016	13503
70	1031	13496
71	1044	13466
72	1059	13450
73	1074	13440
74	1087	13412
75	1101	13390
76	1114	13362
77	1128	13342
78	1144	13338
79	1158	13320
80	1172	13302
81	1184	13258
82	1196	13216
83	1209	13188
84	1222	13159
85	1235	13127
86	1247	13094
87	1260	13064
88	1273	13034
89	1284	12991
90	1296	12949
91	1307	12908
92	1319	12867
93	1331	12833
94	1344	12808
95	1356	12772
96	1366	12725
97	1380	12708
98	1393	12678
99	1404	12641
100	1416	12608
101	1428	12577
102	1441	12557
103	1455	12539
104	1468	12514
105	1481	12496
106	1497	12493
107	1510	12472
108	1524	12460
109	1537	12443
110	1549	12409
111	1562	12386
112	1575	12363
113	1585	12324
114	1598	12298
115	1609	12267
116	1621	12235
117	1633	12209
118	1644	12176
119	1655	12141
120	1668	12118
121	1680	12094
122	1692	12069
123	1704	12038
124	1715	12006
125	1727	11983
126	1740	11964
127	1751	11935
128	1763	11909
129	1776	11891
130	1790	11879
131	1803	11862
132	1815	11835
133	1827	11811
134	1841	11798
135	1853	11775
136	1866	11756
137	1878	11733
138	1891	11716
139	1903	11692
140	1914	11664
141	1926	11643
142	1939	11623
143	1952	11603
144	1963	11575
145	1975	11553
146	1986	11528
147	1999	11509
148	2011	11486
149	2023	11464
150	2035	11445
151	2047	11422
152	2061	11410
153	2073	11391
154	2085	11368
155	2097	11347
